measure_time,block_height,block_hash,block_tx_count
measure_time,block_height,block_hash,block_tx_count
measure_time,block_height,block_hash,block_tx_count
measure_time,block_height,block_hash,block_tx_count
measure_time,block_height,block_hash,block_tx_count
measure_time,block_height,block_hash,block_tx_count
2024-01-21 07:06:47.002281,21,0xa8258bd93c8f788820c6d2eb4c7ee5315fb1dd15b81a388d5895af16962259d7,0
2024-01-21 07:07:02.002010,22,0x7853b5ce4622888c47e62b61eb9ea981c000a257df6f391259f569727d2fa7f8,0
2024-01-21 07:07:17.002319,23,0x51835e2acb3d40802361e1f9547ea314ebae47d90d01655e57c7946257bdd77b,0
2024-01-21 07:07:32.002072,24,0x99cf74f55fa7376236780d89e2950444db97232ff83cf893c084b57283e48e97,0
2024-01-21 07:07:47.002463,25,0x4f3337de59fcf751b09e7252107b1840775c0fec7cf76baa4aa457c479413cc3,0
2024-01-21 07:08:02.000740,26,0xff08ba249ad0f1f9a594ef002a5a63d5b4c1eabbb948ef12780aa73b1f6ced82,0
2024-01-21 07:08:17.001656,27,0xa0d0b96a841a9400c2ee6eeb1c3e9d7d2a397b4a95ab1cdd34ce0392b0f4417b,1
2024-01-21 07:08:32.002288,28,0x9124c2d358668f5cc09598cd9ca132b1c2dca1166b7b6e46cd022e2eb1a9b887,3
2024-01-21 07:08:47.002257,29,0x76d1768e4f14ced4d92eda03f94997a58abf2570e8ee0e6f7ed692b023f63f30,3
2024-01-21 07:09:02.000988,30,0x6960905a5c368cf4f264d3a7eaf0972a4488602a6b8322fbf9e95fd54d90827f,3
2024-01-21 07:09:17.001478,31,0x3d218425aebfd744db05f17bf4cff968f6dce2cdd7b279bf78b93526a3496fc7,3
2024-01-21 07:09:32.001778,32,0xe11948e242b3d62e99fdb2b59c1296401445e88492454f0a5534575fdb8345db,3
2024-01-21 07:09:47.002828,33,0xf76e9d202a03d24882d83f8dd85242b740a066f534667912329f81efbc73a3ee,3
2024-01-21 07:10:02.000656,34,0x27c1ffb8efca41ab9a66620e52aab0a67126443098bbbf5dffd1b3b96c238f4c,3
2024-01-21 07:10:17.001756,35,0xe1d850c07441b68394c302452f063f6cfae7a6fad7d7e233a9ad346b94a79573,3
2024-01-21 07:10:32.002388,36,0x6a67773b485723bea5c53fe1c74835e7ad9692cb2fe772b815550cbd5d6a4ce3,3
2024-01-21 07:10:47.001797,37,0xe84cbf3998fde28fedc1e1f395a25cffb098262fc54bfe688dceb940ec992727,3
2024-01-21 07:11:02.001190,38,0x12a8cd683a39b3c3edb96e238e82ea6be82adc2f91e2ba837d53d0a7740c70ad,3
2024-01-21 07:11:17.001116,39,0x88910e4910201fe12fcc5a7af90b03279bfa27e698a4640d13e257910a7da202,3
2024-01-21 07:11:32.002606,40,0x2331813f3fc06ab4992730931693fd5ca7942de27a9406765537c52fd2c8abf6,3
