measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
2024-01-23 07:39:57.008969,220
2024-01-23 07:40:42.007633,223
2024-01-23 07:41:27.007693,226
2024-01-23 07:42:12.006920,229
2024-01-23 07:42:57.002435,232
2024-01-23 07:43:42.007271,235
2024-01-23 07:44:27.007315,238
2024-01-23 07:45:12.002555,241
2024-01-23 07:45:57.010423,244
2024-01-23 07:46:42.007539,247
2024-01-23 07:47:27.007537,250
2024-01-23 07:48:12.006777,253
2024-01-23 07:48:57.010789,256
2024-01-23 07:49:42.010058,259
2024-01-23 07:50:27.007268,262
2024-01-23 07:51:12.005441,265
2024-01-23 07:51:57.010250,268
2024-01-23 07:52:42.007135,271
2024-01-23 07:53:27.010709,274
2024-01-23 07:54:12.011421,277
2024-01-23 07:54:57.011197,280
2024-01-23 07:55:42.003196,283
2024-01-23 07:56:27.007024,286
2024-01-23 07:57:12.006989,289
2024-01-23 07:57:57.010842,292
2024-01-23 07:58:42.007338,295
2024-01-23 07:59:27.010770,298
2024-01-23 08:00:12.012155,301
2024-01-23 08:00:57.006541,304
2024-01-23 08:01:42.007416,307
2024-01-23 08:02:27.007278,310
2024-01-23 08:03:12.005537,313
2024-01-23 08:03:57.003088,316
2024-01-23 08:04:42.011571,319
2024-01-23 08:05:27.006973,322
2024-01-23 08:06:12.011041,325
2024-01-23 08:06:57.006706,328
2024-01-23 08:07:42.011868,331
2024-01-23 08:08:27.010615,334
2024-01-23 08:09:12.011973,337
2024-01-23 08:09:42.004752,339
2024-01-23 08:09:57.007549,340
2024-01-23 08:10:42.006470,343
2024-01-23 08:11:27.012550,346
2024-01-23 08:12:12.007024,349
2024-01-23 08:12:57.006752,352
2024-01-23 08:13:27.006881,354
2024-01-23 08:13:42.007514,355
2024-01-23 08:14:27.006814,358
2024-01-23 08:15:12.011925,361
2024-01-23 08:15:57.007415,364
2024-01-23 08:16:42.007817,367
2024-01-23 08:17:27.006893,370
2024-01-23 08:18:12.011126,373
2024-01-23 08:18:57.007176,376
2024-01-23 08:19:42.012027,379
2024-01-23 08:20:27.011205,382
2024-01-23 08:21:12.015138,385
2024-01-23 08:21:57.012819,388
2024-01-23 08:22:42.012785,391
2024-01-23 08:23:27.012531,394
2024-01-23 08:24:12.012783,397
2024-01-23 08:24:57.012246,400
2024-01-23 08:25:42.015173,403
2024-01-23 08:26:27.012015,406
2024-01-23 08:27:12.011931,409
2024-01-23 08:27:57.012790,412
2024-01-23 08:28:42.012060,415
2024-01-23 08:29:27.013214,418
2024-01-23 08:30:12.003015,421
2024-01-23 08:30:57.003133,424
