block_hash,validationPeriod
0x2ce17ec1eb2d66a6bcc89985d7a649da6bb6125c8ed6a8090027af31fac01c10,0 days 00:00:00.000131
0x0c49ee0281bd6e27374ee82a6ec3efa69351240dbc9e191f97c28b1ed19389c3,0 days 00:00:00.000173
0x25cbc3cec86d049511118e670fda220735b3f28259c9eed8193451ee18c05302,0 days 00:00:00.000214
0xb7e793074b2c9ea7117d2999d1ca4d7653c4bf7b51ab1e72549c103b7a72daab,0 days 00:00:00.000132
0xfbfd5db332c1d52300f14749981c0792de64845226906b3a59403bb1f0e8d633,0 days 00:00:00.000025
0x6cbeed807acdc96a73c71baaf32fcfc0640b8822c963132348280a04468b0cfa,0 days 00:00:00.000146
0x5e6f6708332d64d41ef87889c97e517722776386e0956745ad4597ba28b2b400,0 days 00:00:00.000142
0x8678d7e4f4d68c21c33da47991720f0d705425af347993728e66bafbe92eb0f2,0 days 00:00:00.000025
0x60014f7b9c67dd6085028c58f129e55a5ccd02737651fc5f60708404f5ad40f0,0 days 00:00:00.000174
0xee5cb14862e78d5976b07ff633b30f4db7160f3b051c43a93d4859b7d8f345ed,0 days 00:00:00.000131
0x21df63f10164166a0c052efff7e26d4b7d01e79da5501411ca23d0066e0bd8d7,0 days 00:00:00.000181
0xcdd89bece2c14f3393a002d162abe4a4ec11ec27e494c8f31c57386361049c77,0 days 00:00:00.000184
0x0bd9f699033847fc2dfd290fafa658000a1e5618567c8d55a4378383a8aa257e,0 days 00:00:00.000172
0xb07c818d7c954d3cac69c1fdb4ce12aec064ffc108586d68f7c1916d9404e45a,0 days 00:00:00.000190
0x72660dec6add788c6ef09b8807c5abdb5c0c9385d64ff3e431d7c26324ee5250,0 days 00:00:00.000134
0xea2bb9f1305bfef2cd938c3a5a8e783f01ba9d39230aafb7e669d1bc437802d8,0 days 00:00:00.000031
0xa96d2380a5db638f72c955a784f818f7d8e1f8208c0f49ac524f09367ac61a16,0 days 00:00:00.000144
0x45c4fd68251991eadf9f1f1b11838733ecbdf06949ccbcdc4e2dbd2bf52d5f68,0 days 00:00:00.000167
0x4eeb0602df8a6e4d14c8d9e54d261962279a16f9eb8416db928b89cb259b7e3b,0 days 00:00:00.000135
0xce4b4565610114327e1416d4c59dde9b373015a4f507d5a0488b3f33ce92ea55,0 days 00:00:00.000141
0xec96e6e99be90a087d2174265033c2b9d5604c03dc69406955093cce96f2818b,0 days 00:00:00.000315
