block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
94,2024-01-21 07:24:47.002637879,2024-01-21 07:25:02.001332,14.998694807s
95,2024-01-21 07:25:02.001641232,2024-01-21 07:25:17.001136,14.999495542s
96,2024-01-21 07:25:17.002120161,2024-01-21 07:25:32.000642,14.998522589s
97,2024-01-21 07:25:32.001723580,2024-01-21 07:25:47.000745,14.999022287s
98,2024-01-21 07:25:47.001735857,2024-01-21 07:26:02.001043,14.999307369s
99,2024-01-21 07:26:02.001335636,2024-01-21 07:26:17.000454,14.999118444s
100,2024-01-21 07:26:17.001713233,2024-01-21 07:26:32.001289,14.999575794s
101,2024-01-21 07:26:32.002242070,2024-01-21 07:26:47.000998,14.998756534s
102,2024-01-21 07:26:47.002277693,2024-01-21 07:27:02.001329,14.999051396s
103,2024-01-21 07:27:02.002448969,2024-01-21 07:27:17.000748,14.998299462s
104,2024-01-21 07:27:17.001869385,2024-01-21 07:27:32.001253,14.999383949s
105,2024-01-21 07:27:32.002298175,2024-01-21 07:27:47.000639,14.998340854s
106,2024-01-21 07:27:47.001747735,2024-01-21 07:28:02.000511,14.99876321s
107,2024-01-21 07:28:02.000783300,2024-01-21 07:28:17.000928,15.000145542s
108,2024-01-21 07:28:17.002228376,2024-01-21 07:28:32.001540,14.999311992s
109,2024-01-21 07:28:32.002551252,2024-01-21 07:28:47.001226,14.998675219s
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
15,2024-01-21 08:04:27.004335461,2024-01-21 08:05:12.000533,44.996197846s
18,2024-01-21 08:05:12.004746566,2024-01-21 08:05:57.000476,44.995729834s
21,2024-01-21 08:05:57.001242502,2024-01-21 08:06:42.000152,44.998910486s
24,2024-01-21 08:06:42.003905245,2024-01-21 08:07:27.000384,44.996478829s
27,2024-01-21 08:07:27.004590656,2024-01-21 08:08:12.000583,44.995992502s
30,2024-01-21 08:08:12.004803696,2024-01-21 08:08:57.000142,44.995338892s
33,2024-01-21 08:08:57.004391101,2024-01-21 08:09:42.000977,44.99658612s
36,2024-01-21 08:09:42.004937305,2024-01-21 08:10:27.000355,44.995417936s
39,2024-01-21 08:10:27.004346447,2024-01-21 08:11:12.000145,44.995798994s
42,2024-01-21 08:11:12.004327664,2024-01-21 08:11:57.000896,44.996568906s
45,2024-01-21 08:11:57.004856075,2024-01-21 08:12:42.001094,44.99623798s
48,2024-01-21 08:12:42.005078181,2024-01-21 08:13:27.000551,44.995473572s
51,2024-01-21 08:13:27.001442164,2024-01-21 08:14:12.000578,44.999136556s
54,2024-01-21 08:14:12.004584485,2024-01-21 08:14:57.001068,44.996483716s
57,2024-01-21 08:14:57.004859103,2024-01-21 08:15:42.000934,44.996075047s
60,2024-01-21 08:15:42.005160171,2024-01-21 08:16:27.001037,44.995877446s
63,2024-01-21 08:16:27.002261089,2024-01-21 08:17:12.000334,44.998073279s
66,2024-01-21 08:17:12.001162246,2024-01-21 08:17:57.000270,44.999108801s
69,2024-01-21 08:17:57.004286757,2024-01-21 08:18:42.000725,44.99643839s
72,2024-01-21 08:18:42.005107519,2024-01-21 08:19:27.000909,44.995802306s
75,2024-01-21 08:19:27.001780525,2024-01-21 08:20:12.001111,44.999331089s
78,2024-01-21 08:20:12.005397222,2024-01-21 08:20:57.000160,44.994763431s
81,2024-01-21 08:20:57.004356559,2024-01-21 08:21:42.000265,44.995908678s
84,2024-01-21 08:21:42.002499840,2024-01-21 08:22:27.000679,44.998179998s
87,2024-01-21 08:22:27.001594299,2024-01-21 08:23:12.001145,44.999550995s
90,2024-01-21 08:23:12.005258974,2024-01-21 08:23:57.001016,44.99575705s
93,2024-01-21 08:23:57.001934367,2024-01-21 08:24:42.000172,44.998238571s
96,2024-01-21 08:24:42.004557195,2024-01-21 08:25:27.000880,44.996322836s
99,2024-01-21 08:25:27.001803399,2024-01-21 08:26:12.001062,44.999258754s
102,2024-01-21 08:26:12.005463051,2024-01-21 08:26:57.001156,44.995693037s
105,2024-01-21 08:26:57.005459891,2024-01-21 08:27:42.000277,44.994817689s
108,2024-01-21 08:27:42.004662147,2024-01-21 08:28:27.001090,44.996428664s
111,2024-01-21 08:28:27.002148659,2024-01-21 08:29:12.000361,44.998213056s
114,2024-01-21 08:29:12.004992762,2024-01-21 08:29:57.000661,44.995669009s
117,2024-01-21 08:29:57.005022733,2024-01-21 08:30:42.001131,44.996108713s
120,2024-01-21 08:30:42.005713349,2024-01-21 08:31:27.000710,44.994997423s
123,2024-01-21 08:31:27.005188578,2024-01-21 08:32:12.000413,44.995224866s
126,2024-01-21 08:32:12.004888035,2024-01-21 08:32:57.000126,44.995238217s
block_height,clique_start,clique_end,cost_time
147,2024-01-21 08:37:27.004941653,2024-01-21 08:38:12.001319,44.99637809s
150,2024-01-21 08:38:12.005653184,2024-01-21 08:38:57.000262,44.994609672s
153,2024-01-21 08:38:57.004414359,2024-01-21 08:39:42.001061,44.996647028s
156,2024-01-21 08:39:42.005305215,2024-01-21 08:40:27.001329,44.996024619s
159,2024-01-21 08:40:27.005408147,2024-01-21 08:41:12.000942,44.995534083s
162,2024-01-21 08:41:12.005111019,2024-01-21 08:41:57.000990,44.99587953s
165,2024-01-21 08:41:57.003789980,2024-01-21 08:42:42.000657,44.996867197s
168,2024-01-21 08:42:42.004985369,2024-01-21 08:43:27.000908,44.995923223s
171,2024-01-21 08:43:27.005094831,2024-01-21 08:44:12.000462,44.995368037s
174,2024-01-21 08:44:12.005083773,2024-01-21 08:44:57.001022,44.995939165s
177,2024-01-21 08:44:57.004271425,2024-01-21 08:45:42.000911,44.996639765s
180,2024-01-21 08:45:42.005301486,2024-01-21 08:46:27.000166,44.994865002s
183,2024-01-21 08:46:27.001248499,2024-01-21 08:47:12.000827,44.999578848s
186,2024-01-21 08:47:12.005140312,2024-01-21 08:47:57.001175,44.996035189s
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
block_height,clique_start,clique_end,cost_time
198,2024-01-23 07:33:57.004885999,2024-01-23 07:34:42.000616,44.995730376s
201,2024-01-23 07:34:42.004613681,2024-01-23 07:35:27.000395,44.995781787s
204,2024-01-23 07:35:27.004924128,2024-01-23 07:36:12.000862,44.995937877s
207,2024-01-23 07:36:12.005525026,2024-01-23 07:36:57.000796,44.995271462s
210,2024-01-23 07:36:57.001762961,2024-01-23 07:37:42.000665,44.998902421s
213,2024-01-23 07:37:42.001579010,2024-01-23 07:38:27.000776,44.999197729s
216,2024-01-23 07:38:27.005140983,2024-01-23 07:39:12.001240,44.996100193s
219,2024-01-23 07:39:12.006176895,2024-01-23 07:39:57.000276,44.994099843s
222,2024-01-23 07:39:57.004714258,2024-01-23 07:40:42.001291,44.996577286s
225,2024-01-23 07:40:42.005566022,2024-01-23 07:41:27.001273,44.995707991s
228,2024-01-23 07:41:27.005747592,2024-01-23 07:42:12.001025,44.995278311s
231,2024-01-23 07:42:12.005301259,2024-01-23 07:42:57.000191,44.99488982s
234,2024-01-23 07:42:57.001327445,2024-01-23 07:43:42.000961,44.999634091s
237,2024-01-23 07:43:42.005691678,2024-01-23 07:44:27.000988,44.995296558s
240,2024-01-23 07:44:27.005775756,2024-01-23 07:45:12.001077,44.995301362s
243,2024-01-23 07:45:12.001818660,2024-01-23 07:45:57.001110,44.999292314s
246,2024-01-23 07:45:57.006013647,2024-01-23 07:46:42.001293,44.995279552s
249,2024-01-23 07:46:42.006216712,2024-01-23 07:47:27.001042,44.994826257s
252,2024-01-23 07:47:27.006115693,2024-01-23 07:48:12.000394,44.994279269s
255,2024-01-23 07:48:12.005895592,2024-01-23 07:48:57.001149,44.995254148s
258,2024-01-23 07:48:57.005902031,2024-01-23 07:49:42.000619,44.994717224s
261,2024-01-23 07:49:42.005802259,2024-01-23 07:50:27.001071,44.995269717s
264,2024-01-23 07:50:27.005757313,2024-01-23 07:51:12.000709,44.994951995s
267,2024-01-23 07:51:12.004688100,2024-01-23 07:51:57.000442,44.995754764s
270,2024-01-23 07:51:57.005537922,2024-01-23 07:52:42.000577,44.995039492s
273,2024-01-23 07:52:42.006192463,2024-01-23 07:53:27.000897,44.994705087s
276,2024-01-23 07:53:27.005845703,2024-01-23 07:54:12.000967,44.995121948s
279,2024-01-23 07:54:12.006097709,2024-01-23 07:54:57.001188,44.99509091s
282,2024-01-23 07:54:57.006358368,2024-01-23 07:55:42.001020,44.994661996s
285,2024-01-23 07:55:42.002206569,2024-01-23 07:56:27.001087,44.998881071s
288,2024-01-23 07:56:27.006275078,2024-01-23 07:57:12.000849,44.994574957s
291,2024-01-23 07:57:12.006162076,2024-01-23 07:57:57.000254,44.994092097s
294,2024-01-23 07:57:57.005513756,2024-01-23 07:58:42.000770,44.995256909s
297,2024-01-23 07:58:42.006096013,2024-01-23 07:59:27.001002,44.994906109s
300,2024-01-23 07:59:27.006306061,2024-01-23 08:00:12.000821,44.994515154s
303,2024-01-23 08:00:12.006902605,2024-01-23 08:00:57.000390,44.993488177s
306,2024-01-23 08:00:57.005643053,2024-01-23 08:01:42.000831,44.995188773s
309,2024-01-23 08:01:42.006264844,2024-01-23 08:02:27.001015,44.994750434s
312,2024-01-23 08:02:27.006420624,2024-01-23 08:03:12.001149,44.994728834s
315,2024-01-23 08:03:12.004672311,2024-01-23 08:03:57.001036,44.996363872s
318,2024-01-23 08:03:57.002204767,2024-01-23 08:04:42.000885,44.998680692s
321,2024-01-23 08:04:42.006440561,2024-01-23 08:05:27.001084,44.994644266s
324,2024-01-23 08:05:27.004762563,2024-01-23 08:06:12.000207,44.995444599s
327,2024-01-23 08:06:12.005869384,2024-01-23 08:06:57.000583,44.994713644s
330,2024-01-23 08:06:57.005801518,2024-01-23 08:07:42.001103,44.995302185s
333,2024-01-23 08:07:42.006642658,2024-01-23 08:08:27.000576,44.993933848s
336,2024-01-23 08:08:27.006147069,2024-01-23 08:09:12.000937,44.994790825s
338,2024-01-23 08:09:12.006434693,2024-01-23 08:09:42.003178,29.996743969s
339,2024-01-23 08:09:42.004211057,2024-01-23 08:09:57.000937,14.996726703s
342,2024-01-23 08:09:57.006332639,2024-01-23 08:10:42.000569,44.9942372s
345,2024-01-23 08:10:42.005528055,2024-01-23 08:11:27.000935,44.995407716s
348,2024-01-23 08:11:27.007059387,2024-01-23 08:12:12.000302,44.99324289s
351,2024-01-23 08:12:12.005923751,2024-01-23 08:12:57.000250,44.994326464s
353,2024-01-23 08:12:57.005850369,2024-01-23 08:13:27.005779,29.999929192s
354,2024-01-23 08:13:27.006212723,2024-01-23 08:13:42.000960,14.994747476s
357,2024-01-23 08:13:42.006582320,2024-01-23 08:14:27.000745,44.994162974s
360,2024-01-23 08:14:27.005846967,2024-01-23 08:15:12.001221,44.995374832s
363,2024-01-23 08:15:12.006935968,2024-01-23 08:15:57.001013,44.994077957s
366,2024-01-23 08:15:57.006597070,2024-01-23 08:16:42.000845,44.994248659s
369,2024-01-23 08:16:42.006599399,2024-01-23 08:17:27.000775,44.994175906s
372,2024-01-23 08:17:27.005938705,2024-01-23 08:18:12.000229,44.994291292s
375,2024-01-23 08:18:12.005884493,2024-01-23 08:18:57.000668,44.994783662s
378,2024-01-23 08:18:57.006262874,2024-01-23 08:19:42.001198,44.99493585s
381,2024-01-23 08:19:42.007040712,2024-01-23 08:20:27.000178,44.993137693s
384,2024-01-23 08:20:27.005990481,2024-01-23 08:21:12.000250,44.99425968s
387,2024-01-23 08:21:12.006011621,2024-01-23 08:21:57.001131,44.995119719s
390,2024-01-23 08:21:57.007668586,2024-01-23 08:22:42.000586,44.992917829s
393,2024-01-23 08:22:42.007498863,2024-01-23 08:23:27.001053,44.99355465s
396,2024-01-23 08:23:27.007075604,2024-01-23 08:24:12.000883,44.993807521s
399,2024-01-23 08:24:12.007315053,2024-01-23 08:24:57.000953,44.993638213s
402,2024-01-23 08:24:57.006947777,2024-01-23 08:25:42.000981,44.994033858s
405,2024-01-23 08:25:42.007787517,2024-01-23 08:26:27.000557,44.992770471s
408,2024-01-23 08:26:27.006786612,2024-01-23 08:27:12.000214,44.9934283s
411,2024-01-23 08:27:12.006150137,2024-01-23 08:27:57.000978,44.994828791s
414,2024-01-23 08:27:57.007208670,2024-01-23 08:28:42.000606,44.993397643s
417,2024-01-23 08:28:42.006967886,2024-01-23 08:29:27.000878,44.993910994s
420,2024-01-23 08:29:27.007828844,2024-01-23 08:30:12.000620,44.992791774s
423,2024-01-23 08:30:12.001927222,2024-01-23 08:30:57.000707,44.998779867s
426,2024-01-23 08:30:57.002119042,2024-01-23 08:31:42.000768,44.998649179s
429,2024-01-23 08:31:42.006431028,2024-01-23 08:32:27.000585,44.994154881s
block_height,clique_start,clique_end,cost_time
431,2024-01-23 08:32:27.002095036,2024-01-23 08:32:57.878811,30.876716546s
433,2024-01-23 08:32:57.884547925,2024-01-23 08:33:27.966435,30.081887564s
435,2024-01-23 08:33:27.972124246,2024-01-23 08:33:57.001079,29.028955769s
